base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
AVAX,DOT,LINK,AVAX/DOT,DOT/LINK,LINK/AVAX,5,8
XRP,TON,BTC,XRP/TON,TON/BTC,BTC/XRP,9,12
BNB,DOGE,TON,BNB/DOGE,DOGE/TON,TON/BNB,9,10
SOL,TRX,DOT,SOL/TRX,TRX/DOT,DOT/SOL,6,11
XRP,LTC,DOT,XRP/LTC,LTC/DOT,DOT/XRP,11,11
LINK,ETH,USDC,LINK/ETH,ETH/USDC,USDC/LINK,7,17
TON,LINK,ETH,TON/LINK,LINK/ETH,ETH/TON,6,14
BTC,BNB,ADA,BTC/BNB,BNB/ADA,ADA/BTC,8,10
LINK,USDC,ADA,LINK/USDC,USDC/ADA,ADA/LINK,9,13
DOGE,DOT,USDT,DOGE/DOT,DOT/USDT,USDT/DOGE,10,11
ADA,AVAX,LINK,ADA/AVAX,AVAX/LINK,LINK/ADA,9,11
LTC,BTC,USDT,LTC/BTC,BTC/USDT,USDT/LTC,10,11
LTC,LINK,BNB,LTC/LINK,LINK/BNB,BNB/LTC,7,11
TRX,LTC,TON,TRX/LTC,LTC/TON,TON/TRX,6,16
ADA,TRX,AVAX,ADA/TRX,TRX/AVAX,AVAX/ADA,10,14
ADA,LTC,AVAX,ADA/LTC,LTC/AVAX,AVAX/ADA,7,15
TRX,AVAX,BTC,TRX/AVAX,AVAX/BTC,BTC/TRX,8,9
BNB,TRX,LTC,BNB/TRX,TRX/LTC,LTC/BNB,7,13
USDC,BNB,DOGE,USDC/BNB,BNB/DOGE,DOGE/USDC,7,12
TRX,AVAX,USDT,TRX/AVAX,AVAX/USDT,USDT/TRX,7,17
TON,AVAX,USDT,TON/AVAX,AVAX/USDT,USDT/TON,8,9
DOT,USDC,SOL,DOT/USDC,USDC/SOL,SOL/DOT,5,16
LINK,BNB,TRX,LINK/BNB,BNB/TRX,TRX/LINK,6,17
LINK,USDT,XRP,LINK/USDT,USDT/XRP,XRP/LINK,11,13
USDC,SOL,ADA,USDC/SOL,SOL/ADA,ADA/USDC,12,17
ADA,TON,AVAX,ADA/TON,TON/AVAX,AVAX/ADA,6,11
ADA,LTC,BTC,ADA/LTC,LTC/BTC,BTC/ADA,11,10
BNB,SOL,LTC,BNB/SOL,SOL/LTC,LTC/BNB,12,15
BTC,USDT,XRP,BTC/USDT,USDT/XRP,XRP/BTC,6,14
BTC,USDT,XRP,BTC/USDT,USDT/XRP,XRP/BTC,6,9
LTC,AVAX,BTC,LTC/AVAX,AVAX/BTC,BTC/LTC,9,14
BTC,SOL,XRP,BTC/SOL,SOL/XRP,XRP/BTC,11,15
ETH,USDT,ADA,ETH/USDT,USDT/ADA,ADA/ETH,7,15
AVAX,BTC,USDT,AVAX/BTC,BTC/USDT,USDT/AVAX,7,8
SOL,XRP,LTC,SOL/XRP,XRP/LTC,LTC/SOL,9,14
DOT,USDC,DOGE,DOT/USDC,USDC/DOGE,DOGE/DOT,7,11
DOGE,DOT,ETH,DOGE/DOT,DOT/ETH,ETH/DOGE,12,8
TON,BTC,SOL,TON/BTC,BTC/SOL,SOL/TON,9,8
XRP,ADA,AVAX,XRP/ADA,ADA/AVAX,AVAX/XRP,12,17
DOGE,LTC,LINK,DOGE/LTC,LTC/LINK,LINK/DOGE,8,9
TON,AVAX,BTC,TON/AVAX,AVAX/BTC,BTC/TON,5,13
TRX,LTC,DOT,TRX/LTC,LTC/DOT,DOT/TRX,8,17
ETH,USDT,USDC,ETH/USDT,USDT/USDC,USDC/ETH,9,9
AVAX,ETH,BNB,AVAX/ETH,ETH/BNB,BNB/AVAX,7,13
DOGE,TRX,LINK,DOGE/TRX,TRX/LINK,LINK/DOGE,8,13
TRX,LTC,LINK,TRX/LTC,LTC/LINK,LINK/TRX,9,8
TRX,TON,LINK,TRX/TON,TON/LINK,LINK/TRX,5,13
USDT,XRP,LTC,USDT/XRP,XRP/LTC,LTC/USDT,11,10
LINK,USDC,XRP,LINK/USDC,USDC/XRP,XRP/LINK,9,17
ADA,TRX,LTC,ADA/TRX,TRX/LTC,LTC/ADA,11,14
