base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
TON,BTC,SOL,TON/BTC,BTC/SOL,SOL/TON,7,17
TRX,LTC,DOT,TRX/LTC,LTC/DOT,DOT/TRX,7,13
BTC,ETH,USDT,BTC/ETH,ETH/USDT,USDT/BTC,5,13
XRP,TRX,DOT,XRP/TRX,TRX/DOT,DOT/XRP,10,14
DOT,LINK,USDC,DOT/LINK,LINK/USDC,USDC/DOT,6,13
TRX,LINK,BNB,TRX/LINK,LINK/BNB,BNB/TRX,11,16
BNB,DOGE,TON,BNB/DOGE,DOGE/TON,TON/BNB,9,9
SOL,TRX,TON,SOL/TRX,TRX/TON,TON/SOL,8,17
BTC,ETH,XRP,BTC/ETH,ETH/XRP,XRP/BTC,5,12
BTC,ETH,BNB,BTC/ETH,ETH/BNB,BNB/BTC,5,9
TRX,LINK,BNB,TRX/LINK,LINK/BNB,BNB/TRX,7,17
ADA,LTC,BTC,ADA/LTC,LTC/BTC,BTC/ADA,7,9
AVAX,ETH,USDT,AVAX/ETH,ETH/USDT,USDT/AVAX,7,12
LTC,DOT,LINK,LTC/DOT,DOT/LINK,LINK/LTC,8,12
DOT,ETH,USDC,DOT/ETH,ETH/USDC,USDC/DOT,5,8
ETH,USDC,ADA,ETH/USDC,USDC/ADA,ADA/ETH,9,14
LINK,BTC,USDT,LINK/BTC,BTC/USDT,USDT/LINK,5,11
BTC,USDC,ADA,BTC/USDC,USDC/ADA,ADA/BTC,9,15
USDT,SOL,ADA,USDT/SOL,SOL/ADA,ADA/USDT,9,12
LTC,BTC,ETH,LTC/BTC,BTC/ETH,ETH/LTC,5,17
AVAX,USDT,ADA,AVAX/USDT,USDT/ADA,ADA/AVAX,8,8
ADA,TRX,TON,ADA/TRX,TRX/TON,TON/ADA,11,10
ADA,TON,AVAX,ADA/TON,TON/AVAX,AVAX/ADA,11,15
USDC,XRP,LTC,USDC/XRP,XRP/LTC,LTC/USDC,9,16
BTC,ETH,XRP,BTC/ETH,ETH/XRP,XRP/BTC,7,14
USDC,XRP,DOGE,USDC/XRP,XRP/DOGE,DOGE/USDC,11,11
XRP,TON,LINK,XRP/TON,TON/LINK,LINK/XRP,9,8
XRP,TRX,LTC,XRP/TRX,TRX/LTC,LTC/XRP,8,13
DOGE,TON,BTC,DOGE/TON,TON/BTC,BTC/DOGE,8,15
USDC,BNB,DOGE,USDC/BNB,BNB/DOGE,DOGE/USDC,10,15
BTC,SOL,ADA,BTC/SOL,SOL/ADA,ADA/BTC,7,13
USDT,USDC,XRP,USDT/USDC,USDC/XRP,XRP/USDT,11,17
LINK,USDT,USDC,LINK/USDT,USDT/USDC,USDC/LINK,7,15
BTC,ETH,SOL,BTC/ETH,ETH/SOL,SOL/BTC,7,8
LINK,ETH,XRP,LINK/ETH,ETH/XRP,XRP/LINK,11,17
DOT,USDT,ADA,DOT/USDT,USDT/ADA,ADA/DOT,8,17
BTC,SOL,DOGE,BTC/SOL,SOL/DOGE,DOGE/BTC,7,8
XRP,DOGE,TRX,XRP/DOGE,DOGE/TRX,TRX/XRP,8,17
DOGE,DOT,BTC,DOGE/DOT,DOT/BTC,BTC/DOGE,10,15
USDC,ADA,LTC,USDC/ADA,ADA/LTC,LTC/USDC,12,14
SOL,TRX,LTC,SOL/TRX,TRX/LTC,LTC/SOL,11,16
USDC,DOGE,TON,USDC/DOGE,DOGE/TON,TON/USDC,5,12
TON,ETH,SOL,TON/ETH,ETH/SOL,SOL/TON,5,12
DOGE,AVAX,LINK,DOGE/AVAX,AVAX/LINK,LINK/DOGE,8,9
LINK,BNB,TRX,LINK/BNB,BNB/TRX,TRX/LINK,12,17
USDT,ADA,TRX,USDT/ADA,ADA/TRX,TRX/USDT,12,8
BTC,USDT,USDC,BTC/USDT,USDT/USDC,USDC/BTC,10,16
DOGE,TON,DOT,DOGE/TON,TON/DOT,DOT/DOGE,5,16
DOGE,LTC,DOT,DOGE/LTC,LTC/DOT,DOT/DOGE,10,8
USDT,ADA,LTC,USDT/ADA,ADA/LTC,LTC/USDT,10,16
