base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
LTC,DOT,USDT,LTC/DOT,DOT/USDT,USDT/LTC,10,13
BNB,TRX,LINK,BNB/TRX,TRX/LINK,LINK/BNB,6,10
DOGE,TRX,LINK,DOGE/TRX,TRX/LINK,LINK/DOGE,9,13
BTC,BNB,DOGE,BTC/BNB,BNB/DOGE,DOGE/BTC,9,8
USDT,XRP,LTC,USDT/XRP,XRP/LTC,LTC/USDT,5,12
USDT,BNB,ADA,USDT/BNB,BNB/ADA,ADA/USDT,12,10
ETH,USDT,SOL,ETH/USDT,USDT/SOL,SOL/ETH,12,17
DOGE,TON,AVAX,DOGE/TON,TON/AVAX,AVAX/DOGE,11,14
DOGE,LTC,LINK,DOGE/LTC,LTC/LINK,LINK/DOGE,9,13
TON,AVAX,DOT,TON/AVAX,AVAX/DOT,DOT/TON,6,8
BNB,TRX,LINK,BNB/TRX,TRX/LINK,LINK/BNB,7,17
TON,DOT,BTC,TON/DOT,DOT/BTC,BTC/TON,8,14
LINK,ETH,XRP,LINK/ETH,ETH/XRP,XRP/LINK,9,9
BTC,SOL,LTC,BTC/SOL,SOL/LTC,LTC/BTC,5,11
ETH,USDC,XRP,ETH/USDC,USDC/XRP,XRP/ETH,7,17
SOL,LTC,AVAX,SOL/LTC,LTC/AVAX,AVAX/SOL,11,10
AVAX,LINK,BNB,AVAX/LINK,LINK/BNB,BNB/AVAX,8,10
TRX,LTC,BTC,TRX/LTC,LTC/BTC,BTC/TRX,8,11
LTC,LINK,BNB,LTC/LINK,LINK/BNB,BNB/LTC,12,16
LINK,ETH,XRP,LINK/ETH,ETH/XRP,XRP/LINK,9,12
BNB,DOGE,DOT,BNB/DOGE,DOGE/DOT,DOT/BNB,12,10
BTC,ETH,XRP,BTC/ETH,ETH/XRP,XRP/BTC,12,9
USDC,SOL,TRX,USDC/SOL,SOL/TRX,TRX/USDC,8,17
AVAX,DOT,USDC,AVAX/DOT,DOT/USDC,USDC/AVAX,11,12
SOL,XRP,LTC,SOL/XRP,XRP/LTC,LTC/SOL,9,11
USDC,BNB,TRX,USDC/BNB,BNB/TRX,TRX/USDC,11,17
LINK,USDC,BNB,LINK/USDC,USDC/BNB,BNB/LINK,10,17
XRP,ADA,TRX,XRP/ADA,ADA/TRX,TRX/XRP,5,8
TRX,AVAX,LINK,TRX/AVAX,AVAX/LINK,LINK/TRX,7,12
SOL,LTC,DOT,SOL/LTC,LTC/DOT,DOT/SOL,7,9
DOGE,TON,LINK,DOGE/TON,TON/LINK,LINK/DOGE,8,9
DOT,BTC,SOL,DOT/BTC,BTC/SOL,SOL/DOT,10,9
XRP,TRX,LTC,XRP/TRX,TRX/LTC,LTC/XRP,12,11
DOGE,TON,LINK,DOGE/TON,TON/LINK,LINK/DOGE,12,15
TON,BTC,BNB,TON/BTC,BTC/BNB,BNB/TON,7,11
ETH,SOL,LTC,ETH/SOL,SOL/LTC,LTC/ETH,12,11
DOT,ETH,BNB,DOT/ETH,ETH/BNB,BNB/DOT,8,9
ETH,XRP,DOGE,ETH/XRP,XRP/DOGE,DOGE/ETH,7,17
DOT,BTC,BNB,DOT/BTC,BTC/BNB,BNB/DOT,10,8
ETH,USDC,SOL,ETH/USDC,USDC/SOL,SOL/ETH,12,17
USDC,XRP,DOGE,USDC/XRP,XRP/DOGE,DOGE/USDC,10,12
TRX,LINK,USDT,TRX/LINK,LINK/USDT,USDT/TRX,9,9
LINK,BNB,XRP,LINK/BNB,BNB/XRP,XRP/LINK,12,10
ETH,SOL,LTC,ETH/SOL,SOL/LTC,LTC/ETH,7,15
BTC,ETH,XRP,BTC/ETH,ETH/XRP,XRP/BTC,6,8
ETH,XRP,DOGE,ETH/XRP,XRP/DOGE,DOGE/ETH,10,14
DOT,BTC,ETH,DOT/BTC,BTC/ETH,ETH/DOT,7,16
DOGE,AVAX,ETH,DOGE/AVAX,AVAX/ETH,ETH/DOGE,11,13
BNB,SOL,LTC,BNB/SOL,SOL/LTC,LTC/BNB,12,14
TRX,DOT,USDT,TRX/DOT,DOT/USDT,USDT/TRX,6,15
