base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
BNB,SOL,DOGE,BNB/SOL,SOL/DOGE,DOGE/BNB,6,17
LTC,LINK,USDC,LTC/LINK,LINK/USDC,USDC/LTC,8,14
DOT,USDC,XRP,DOT/USDC,USDC/XRP,XRP/DOT,11,9
ETH,BNB,TRX,ETH/BNB,BNB/TRX,TRX/ETH,12,15
DOGE,TON,LINK,DOGE/TON,TON/LINK,LINK/DOGE,7,12
DOGE,LTC,DOT,DOGE/LTC,LTC/DOT,DOT/DOGE,6,13
ADA,DOGE,TON,ADA/DOGE,DOGE/TON,TON/ADA,10,16
TON,AVAX,USDT,TON/AVAX,AVAX/USDT,USDT/TON,8,9
USDC,XRP,TON,USDC/XRP,XRP/TON,TON/USDC,11,13
ADA,AVAX,DOT,ADA/AVAX,AVAX/DOT,DOT/ADA,8,11
TON,ETH,SOL,TON/ETH,ETH/SOL,SOL/TON,10,10
BNB,TRX,DOT,BNB/TRX,TRX/DOT,DOT/BNB,5,8
DOT,LINK,USDC,DOT/LINK,LINK/USDC,USDC/DOT,8,17
USDC,SOL,XRP,USDC/SOL,SOL/XRP,XRP/USDC,5,8
XRP,TRX,LTC,XRP/TRX,TRX/LTC,LTC/XRP,12,8
ADA,TRX,AVAX,ADA/TRX,TRX/AVAX,AVAX/ADA,6,14
ADA,TON,ETH,ADA/TON,TON/ETH,ETH/ADA,10,9
TRX,LINK,BNB,TRX/LINK,LINK/BNB,BNB/TRX,10,12
AVAX,LINK,USDC,AVAX/LINK,LINK/USDC,USDC/AVAX,10,15
LINK,USDC,XRP,LINK/USDC,USDC/XRP,XRP/LINK,7,16
LINK,USDC,ADA,LINK/USDC,USDC/ADA,ADA/LINK,5,14
DOGE,TRX,AVAX,DOGE/TRX,TRX/AVAX,AVAX/DOGE,8,14
DOGE,LTC,TON,DOGE/LTC,LTC/TON,TON/DOGE,9,11
XRP,TON,AVAX,XRP/TON,TON/AVAX,AVAX/XRP,10,17
DOT,USDC,ADA,DOT/USDC,USDC/ADA,ADA/DOT,10,10
TRX,TON,ETH,TRX/TON,TON/ETH,ETH/TRX,9,13
DOGE,LTC,BTC,DOGE/LTC,LTC/BTC,BTC/DOGE,9,12
BTC,USDC,DOGE,BTC/USDC,USDC/DOGE,DOGE/BTC,10,15
TON,LINK,USDT,TON/LINK,LINK/USDT,USDT/TON,6,14
LINK,USDT,ADA,LINK/USDT,USDT/ADA,ADA/LINK,9,15
USDC,DOGE,TRX,USDC/DOGE,DOGE/TRX,TRX/USDC,7,14
USDC,DOGE,TON,USDC/DOGE,DOGE/TON,TON/USDC,10,14
ADA,DOGE,TON,ADA/DOGE,DOGE/TON,TON/ADA,10,14
BNB,ADA,TON,BNB/ADA,ADA/TON,TON/BNB,7,14
AVAX,LINK,USDT,AVAX/LINK,LINK/USDT,USDT/AVAX,5,15
DOT,ETH,BNB,DOT/ETH,ETH/BNB,BNB/DOT,11,13
TON,BTC,USDC,TON/BTC,BTC/USDC,USDC/TON,5,10
BNB,XRP,LTC,BNB/XRP,XRP/LTC,LTC/BNB,9,9
USDT,SOL,ADA,USDT/SOL,SOL/ADA,ADA/USDT,7,8
TRX,LTC,LINK,TRX/LTC,LTC/LINK,LINK/TRX,9,16
LINK,BNB,XRP,LINK/BNB,BNB/XRP,XRP/LINK,10,16
BNB,DOGE,TON,BNB/DOGE,DOGE/TON,TON/BNB,10,16
LINK,USDT,USDC,LINK/USDT,USDT/USDC,USDC/LINK,6,10
DOT,USDT,ADA,DOT/USDT,USDT/ADA,ADA/DOT,11,13
BTC,BNB,SOL,BTC/BNB,BNB/SOL,SOL/BTC,9,13
LINK,ETH,SOL,LINK/ETH,ETH/SOL,SOL/LINK,11,15
DOT,BTC,USDT,DOT/BTC,BTC/USDT,USDT/DOT,8,10
BNB,SOL,XRP,BNB/SOL,SOL/XRP,XRP/BNB,12,14
ETH,XRP,TRX,ETH/XRP,XRP/TRX,TRX/ETH,7,12
SOL,DOGE,AVAX,SOL/DOGE,DOGE/AVAX,AVAX/SOL,10,17
